"","plot","flowers","pNDVIvalues","pGNDVIvalues","pGDVI2values","pREDvalues","pGREvalues","pNIRvalues","pREGvalues","ndvi.threshold","gndvi.threshold","gdvi2.threshold","ndvi.avg.threshold","gndvi.avg.threshold","gdvi2.avg.threshold","ndvi.avg.threshold.noflowers","gndvi.avg.threshold.noflowers","gdvi2.avg.threshold.noflowers"
"1",1,0,0.460855932833687,0.490718249385938,0.729736923456482,3232.34278243528,3031.88261046313,9208.32999308664,6749.45306821037,0.649899643659592,0.593935531377792,0.913826727867126,0.727282469123536,0.644400419453479,0.944610898892965,0.726006053400811,0.643238546896575,0.943396633722847
"2",2,1,0.679163470876245,0.639111196631709,0.906746733360356,2487.32900502371,2951.00573826284,13938.4538385724,9201.79393920571,0.563891017436981,0.538424551486969,0.85569429397583,0.753758927025825,0.693651585958941,0.958046837540653,0.753204664505846,0.693123181461754,0.957568381334716
"3",3,0,0.497531304424536,0.508576520303775,0.775656735442868,2693.28790584298,2639.16318128606,8282.58120136563,6153.89384766103,0.465190088748932,0.493862164020538,0.764862525463104,0.724183198482438,0.640579520431478,0.943325098330776,0.723047241973161,0.639479391321574,0.942250631705509
"4",4,0,0.743969836656947,0.683208565510455,0.945153817617969,1938.44167276264,2634.37609798168,14884.895799504,9941.923764489,0.649715721607208,0.603296703100205,0.913712060451508,0.789806723542409,0.713911551592301,0.969672169071065,0.789429360420331,0.713523881727292,0.969267501092177
"5",5,0,0.663565891938545,0.628975548822294,0.900095918123783,2293.05953829587,2688.42154205721,12522.0566197162,8812.45543066981,0.747714900970459,0.675877022743225,0.95917566716671,0.759894779739601,0.681015840045305,0.959604393852047,0.759298469872918,0.680448736488708,0.959064685255429
"6",6,0,0.589196899129104,0.575151068264194,0.863545357640425,2500.83604059861,2627.33144626026,9939.27622269797,6695.70219503074,0.626492935419083,0.596190923452377,0.899814587831497,0.734647025165883,0.648280361246033,0.946651453243782,0.73320231378903,0.647082899966399,0.945345007018396
"7",7,1,0.711438217210044,0.665138700506642,0.935793651204251,2313.67987877135,2691.1101483439,13706.2169609748,8553.34475301772,0.628532230854034,0.60401377081871,0.901087403297424,0.756694040040973,0.685274314376157,0.959024251333609,0.756146004876613,0.6849228979326,0.958517366670008
"8",8,1,0.667884473552334,0.600289686308602,0.913898108446566,2775.32016042351,3480.08545589986,13661.0523374481,8975.03326135094,0.598266005516052,0.543397426605225,0.881149172782898,0.755625259565684,0.669706672452565,0.955993699726343,0.754642227337611,0.668881018656101,0.955028571387973
"9",9,0,0.660623904174901,0.61396929726308,0.906168641340104,2550.70612297526,3005.16477594528,12846.5479927633,8210.95355470093,NA,NA,NA,0.746566726690115,0.66113201596942,0.954144756668492,0.745745178088005,0.66041153561776,0.953384622789301
"10",10,1,0.680978721836584,0.630473318419583,0.909032160386802,3556.43770437575,4082.62396346332,17448.4385341316,11598.262848534,0.367358503937721,0.438490934967995,0.647357326149941,0.771349025735855,0.677056798946175,0.963293157854709,0.770707058498863,0.676613882542185,0.962745673664641
"11",11,0,0.562024268131784,0.561503007672014,0.832173084750557,2908.35819765334,2989.24409870698,11092.9391549041,7317.44397209171,NA,NA,NA,0.74741543081471,0.657102657177302,0.952835977068331,0.746506765471157,0.656064608902295,0.951694407271142
"12",12,1,0.670462732851172,0.624152936452086,0.902464224139411,3760.44378357263,4299.62073873122,18260.5280282825,12002.2969196595,0.345560771226883,0.427190005779266,0.61739684343338,0.76436873591287,0.675668133303745,0.961090376461795,0.763756041876732,0.675179019055616,0.960583035983716
"13",13,0,0.645964420119384,0.615551913856604,0.902873785155635,2650.21618323804,2958.1475735772,12628.3043857203,8068.28915098438,NA,NA,NA,0.727268402192489,0.653696919054347,0.945788485701236,0.726127519590748,0.652963639151657,0.944776726907075
"14",14,1,0.743385105955784,0.652683476157798,0.953089427511135,2184.07354560845,3201.61742683691,15440.1675382976,10246.1639833597,0.751172333955765,0.652362793684006,0.960418853163719,0.765328125576897,0.670036339550403,0.962385594037127,0.764906488648475,0.669601819584879,0.962046865867654
"15",15,1,0.669597741243438,0.629611863073133,0.910981033904982,2346.877985635,2785.90908835794,12747.6513736624,8251.8421811696,0.606235891580582,0.582707434892654,0.886619627475739,0.752583861898908,0.674047922634819,0.956234305527738,0.751754448300554,0.673347817772998,0.955471710616113
"16",16,1,0.64129257700248,0.625485367444353,0.887426657896407,2222.62640367075,2482.04181250438,11552.303433558,7348.43809631166,0.688688799738884,0.645694211125374,0.934263616800308,0.762120925695973,0.686620661548051,0.959826668679765,0.761385948819776,0.685864791392167,0.959114856493924
"17",17,0,0.604375662022511,0.596575963401458,0.86743876667515,2595.39637128944,2733.96936457345,11198.8195258717,7501.94528318588,0.698113664984703,0.650299355387688,0.938726887106895,0.735979478982337,0.657256533127784,0.949114958543177,0.734928697276739,0.656489613103026,0.948094560669075
"18",18,1,0.524241954293475,0.551341051334395,0.801561252117431,2662.86461141204,2503.06700565567,9020.09314588607,6007.10892416859,0.551595723628998,0.564110690355301,0.845838508009911,0.720865791047825,0.6493926919457,0.941939607449829,0.719504187891494,0.648386663520353,0.940577703280438
"19",19,0,0.335314887659185,0.426764202710673,0.587678344267903,4338.71438833793,3492.06827020936,8766.34735698034,6422.01873887165,0.818384885787964,0.755029201507568,0.980246186256409,0.73156456507302,0.654792962052711,0.947412508271989,0.730800030850121,0.654018369788262,0.946173318956472
"20",20,1,0.693159823201895,0.605735558920074,0.928172924751783,2189.76631889069,3071.37677545873,12794.8521249024,9200.97755442742,0.46898282200098,0.451279461979866,0.768859022259712,0.742093920995673,0.6517759801403,0.953250977614897,0.74140513721735,0.651057060968758,0.952683846338121
"21",21,0,0.731250800619157,0.639652297877593,0.950389779291696,2391.49772915372,3424.30415001327,15573.7712041702,11059.3836749117,0.62045078933239,0.563001568317413,0.895983755588532,0.745791351937605,0.651785453688914,0.955985044790921,0.745344801545166,0.651333544435493,0.955650250552506
"22",22,1,0.731322559933662,0.656918414690766,0.947407183460181,2193.13114342323,2971.25656198684,14438.3942851027,10376.8551174856,0.705436021089554,0.632997065782547,0.942065358161926,0.759459531659916,0.67560796782093,0.960314952730204,0.758986068388987,0.675285838439599,0.959941702970832
"23",23,0,0.747076521024226,0.662589906530708,0.950035153282628,2171.13845319343,3167.7865908528,15947.2324212506,11546.8509929334,0.74904420375824,0.652020967006683,0.959656178951263,0.78548240777418,0.685458027103605,0.968665192739449,0.785087390887981,0.685082040150501,0.968363509155597
"24",24,1,0.692207988241251,0.654856587030221,0.924905111588272,2269.34454342546,2673.76173778204,13329.0386116434,8820.37109499723,0.624406427145004,0.615099713206291,0.898501917719841,0.766692952403436,0.678980675392675,0.96004425910549,0.76576603666691,0.678388878676238,0.959221969866548
