"","X","plot","pNDVIvalues","pGNDVIvalues","pGDVI2values","pREDvalues","pGREvalues","pNIRvalues","pREGvalues","ndvi.threshold","gndvi.threshold","gdvi2.threshold","ndvi.avg.threshold","gndvi.avg.threshold","gdvi2.avg.threshold","ndvi.avg.threshold.noflowers","gndvi.avg.threshold.noflowers","gdvi2.avg.threshold.noflowers"
"1",1,1,0.460855932833687,0.490718249385938,0.729736923456482,3232.34278243528,3031.88261046313,9208.32999308664,6749.45306821037,0.604890662431717,0.563011786341667,0.885707460343838,0.694834441974694,0.620809221165103,0.931830628521555,0.698783086174654,0.623382127163056,0.933839344531543
"2",2,2,0.679163470876245,0.639111196631709,0.906746733360356,2487.32900502371,2951.00573826284,13938.4538385724,9201.79393920571,0.434369194507599,0.468062545359135,0.730845054984092,0.741011748508631,0.681736334016031,0.953424329709718,0.742531034555448,0.682941682921441,0.954153203296712
"3",3,3,0.497531304424536,0.508576520303775,0.775656735442868,2693.28790584298,2639.16318128606,8282.58120136563,6153.89384766103,0.51479012966156,0.517567324638367,0.813891714811325,0.691814421499903,0.614153756891604,0.930311154408995,0.695795539226932,0.616981401285656,0.932485298827361
"4",4,4,0.743969836656947,0.683208565510455,0.945153817617969,1938.44167276264,2634.37609798168,14884.895799504,9941.923764489,0.506039029359818,0.506894677877426,0.805728596448898,0.779185170682414,0.706008297531695,0.966132832724343,0.780482457394192,0.706797042588175,0.966724003255738
"5",5,5,0.663565891938545,0.628975548822294,0.900095918123783,2293.05953829587,2688.42154205721,12522.0566197162,8812.45543066981,0.65971876680851,0.61758553981781,0.919321149587631,0.744422108742508,0.669208815796297,0.953812450951798,0.746354212778315,0.670334207689032,0.954883399324611
"6",6,6,0.589196899129104,0.575151068264194,0.863545357640425,2500.83604059861,2627.33144626026,9939.27622269797,6695.70219503074,0.200795620679855,0.329043954610825,0.386027038097382,0.696396865496622,0.620450358785293,0.930982106128992,0.701593431619559,0.623104133925815,0.933837121234004
"7",7,7,0.711438217210044,0.665138700506642,0.935793651204251,2313.67987877135,2691.1101483439,13706.2169609748,8553.34475301772,0.518181413412094,0.548097193241119,0.816990971565247,0.743886817841199,0.677269430092032,0.95455192448056,0.745355363846099,0.678028452091634,0.955248686364662
"8",8,8,0.667884473552334,0.600289686308602,0.913898108446566,2775.32016042351,3480.08545589986,13661.0523374481,8975.03326135094,0.565849339962006,0.513261616230011,0.857227063179016,0.728732911321965,0.649428999420315,0.945493088588163,0.732178627681695,0.651533817437523,0.947439231803772
"9",9,9,0.660623904174901,0.61396929726308,0.906168641340104,2550.70612297526,3005.16477594528,12846.5479927633,8210.95355470093,0.687420248985291,0.625252544879913,0.933643132448196,0.726852594039954,0.646333752225189,0.946618101880376,0.729460026722887,0.64786144353789,0.947932948852341
"10",10,10,0.680978721836584,0.630473318419583,0.909032160386802,3556.43770437575,4082.62396346332,17448.4385341316,11598.262848534,0.432173727452755,0.482225972414017,0.728318244218826,0.756211425328746,0.66714370047378,0.957879719445208,0.757982229325926,0.668117955605571,0.958833881749429
"11",11,11,0.562024268131784,0.561503007672014,0.832173084750557,2908.35819765334,2989.24409870698,11092.9391549041,7317.44397209171,0.620862817764282,0.594328784942627,0.896246972680092,0.717790205427788,0.633139216581568,0.941270286581637,0.721445373676033,0.635574976840293,0.943291698045215
"12",12,12,0.670462732851172,0.624152936452086,0.902464224139411,3760.44378357263,4299.62073873122,18260.5280282825,12002.2969196595,0.335393160581589,0.418781593441963,0.602960169315338,0.749185864983566,0.663535540471007,0.955547591206407,0.751076861183951,0.66460275293584,0.956490132145617
"13",13,13,0.645964420119384,0.615551913856604,0.902873785155635,2650.21618323804,2958.1475735772,12628.3043857203,8068.28915098438,0.613073122501373,0.590830081701279,0.891186189651489,0.70149105617431,0.63796885907807,0.935651120196765,0.704428218639258,0.639449057450487,0.937378577687561
"14",14,14,0.743385105955784,0.652683476157798,0.953089427511135,2184.07354560845,3201.61742683691,15440.1675382976,10246.1639833597,0.642456677556038,0.574989078938961,0.909511801600456,0.756300599384488,0.661638830355946,0.959644486382678,0.757210515691104,0.66231925957712,0.960005392555444
"15",15,15,0.669597741243438,0.629611863073133,0.910981033904982,2346.877985635,2785.90908835794,12747.6513736624,8251.8421811696,0.568830388784409,0.559672200679779,0.859540858864784,0.731733167555073,0.658593446786333,0.948337249964285,0.734348424042232,0.659992296148085,0.949665374119034
